3198	6.16641405026	0.5	0.5
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
231	2.06358833313	0.5	0.5	0.5	0.0
466	4.14318211873	0.5	0.5	0.5	0.0
699	6.22295881907	0.5	0.5	0.5	0.0
933	8.30234850248	0.5	0.5	0.5	0.0
1167	10.3822285016	0.5	0.5	0.5	0.0
1412	12.4611358007	0.5	0.5	0.5	0.0
1656	14.5404440681	0.5	0.5	0.5	0.0
1899	16.6213160356	0.5	0.5	0.5	0.0
2143	18.7008470496	0.5	0.5	0.5	0.0
2386	20.7819122672	0.5	0.5	0.5	0.0
2629	22.8610831857	0.5	0.5	0.5	0.0
2872	24.9684296012	0.517025089606	0.511287351436	0.503389176851	0.503389176851
3097	27.0624676863	0.945270696917	0.893976831925	0.513196975261	0.513196975261
3319	29.1574834863	0.999490835031	0.988562091503	0.518589174637	0.518589174637
3539	31.2540959676	1.0	0.990922294844	0.515805702202	0.515805702202
