epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
137	2.10611604849	0.5	0.5	0.5	0.0
287	4.21304426591	0.5	0.5	0.5	0.0
442	6.31875308355	0.5	0.5	0.5	0.0
600	8.42357014815	0.5	0.5	0.5	0.0
759	10.5291841984	0.5	0.5	0.5	0.0
916	12.6352864504	0.5	0.5	0.5	0.0
1074	14.7419782639	0.5	0.5	0.5	0.0
1231	16.8480926156	0.5	0.5	0.5	0.0
1388	18.9548383315	0.5	0.5	0.5	0.0
1544	21.0588955998	0.5	0.5	0.5	0.0
1702	23.1643878142	0.5	0.5	0.5	0.0
1859	25.2691139817	0.5	0.5	0.5	0.0
2017	27.3747260809	0.5	0.5	0.5	0.0
2174	29.4803792	0.5	0.5	0.5	0.0
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
134	2.10724191666	0.5	0.5	0.5	0.0
291	4.21329493523	0.5	0.5	0.5	0.0
449	6.32617979844	0.644514761317	0.631927604826	0.609460579108	0.609460579108
597	8.41775271893	0.782506789556	0.725515267645	0.591050606281	0.591050606281
739	10.5582176844	0.988331567664	0.928677259802	0.571493935331	0.571493935331
880	12.6973607183	0.999831323269	0.939244083363	0.567967255105	0.567967255105
1022	14.8361644983	1.0	0.943306252208	0.564362988842	0.564362988842
1164	16.9749486486	1.0	0.943482868244	0.566418771409	0.566418771409
